General Features,GENERAL FEATURES,
Brand,GENERAL FEATURES,Brand
Model,GENERAL FEATURES,Model Name
Form,GENERAL FEATURES,Form
SIM,GENERAL FEATURES,SIM Type
Colour,GENERAL FEATURES,Handset Color
Loudspeaker,GENERAL FEATURES,Call Features
Display,DISPLAY,
Screen Size,DISPLAY,Size
Display Resolution,DISPLAY,Resolution
Display Type,GENERAL FEATURES,Touch Screen
Screen Protection,DISPLAY,Other Display Features
Software,,
Operating System,PLATFORM,OS
Camera,,
Rear Camera Resolution,CAMERA,Rear Camera
Front Camera Specifications,CAMERA,Front Facing Camera
Other Camera Features,CAMERA,Other Camera Features
Connectivity,,
Phone Connectivity,INTERNET & CONNECTIVITY,3G
Hardware Connectivity,INTERNET & CONNECTIVITY,Wifi
Bluetooth A2DP,INTERNET & CONNECTIVITY,Bluetooth
Audio Jack,INTERNET & CONNECTIVITY,Audio Jack
Hardware,,
Accelerometer,OTHER FEATURES,Sensors
Light Sensor,OTHER FEATURES,Sensors
Compass,OTHER FEATURES,Sensors
G-sensor,OTHER FEATURES,Sensors
Processor,,
Processor Speed,PLATFORM,Processor
Processor Cores,PLATFORM,Processor
Processor Brand,PLATFORM,Processor
Memory & Storage,,
RAM,MEMORY AND STORAGE,Memory
Internal Memory,MEMORY AND STORAGE,Internal
Battery & Power,,
Battery Capacity,BATTERY,Type
Talk Time,BATTERY,Talk Time
Standby Time,BATTERY,Standby Time
Dimensions,,
HxWxD,DIMENSIONS,Size
Weight,DIMENSIONS,Weight
Warranty,,
Warranty Type,WARRANTY,Warranty Summary
